N,key_resp.corr,key_resp.rt,,,SeqRT,RanRT,,,
0,1,3.5390559,,,3.5390559,2.8749365,0.6641194,,1.617370051
1,1,0.99174,,,0.99174,0.6999414,0.2917986,,4.679903333
2,1,0.654285,,,0.654285,17.2304245,-16.5761395,,-3.062533281
3,1,0.4997746,,,0.4997746,57.6790027,-57.1792281,,
4,1,3.1543747,,,3.1543747,12.3590095,-9.2046348,,
5,1,4.3262439,,,4.3262439,5.4557741,-1.1295302,,
6,1,1.0621492,,,1.0621492,8.4905361,-7.4283869,,
7,0,4.7187037,,,4.7187037,1.057088,3.6616157,,
8,0,1.1198763,,,1.1198763,15.6583578,-14.5384815,,
9,1,2.0682049,,,2.0682049,1.9448001,0.1234048,,
10,1,0.8515452,,,0.8515452,11.0287327,-10.1771875,,
11,1,0.6969587,,,0.6969587,1.0288413,-0.3318826,,
12,1,1.4533354,,,1.4533354,3.2821393,-1.8288039,,
13,1,0.4875461,,,0.4875461,1.4348477,-0.9473016,,
14,1,0.6135633,,,0.6135633,14.0854514,-13.4718881,,
15,1,1.0502244,,,1.0502244,3.4258878,-2.3756634,,
16,1,0.7204464,,,0.7204464,2.1272812,-1.4068348,,
17,1,0.6514902,,,0.6514902,3.3435318,-2.6920416,,
18,1,3.4817884,,,3.4817884,2.9286486,0.5531398,,
19,1,0.8268841,,,0.8268841,6.0398705,-5.2129864,,
20,1,1.1444622,,,1.1444622,1.4482318,-0.3037696,,
21,1,1.6740995,,,1.6740995,0.8146303,0.8594692,,
22,1,1.2182457,,,1.2182457,0.704799,0.5134467,,
23,1,0.4219297,,,0.4219297,5.5062083,-5.0842786,,
24,1,0.4758191,,,0.4758191,9.8355107,-9.3596916,,
25,1,0.6058414,,,0.6058414,64.6160784,-64.010237,,
26,1,0.3010822,,,0.3010822,1.0842809,-0.7831987,,
27,1,0.4200176,,,0.4200176,1.3247125,-0.9046949,,
28,1,0.3096646,,,0.3096646,0.8072079,-0.4975433,,
29,1,0.6071554,,,0.6071554,2.3863167,-1.7791613,,
30,1,0.3852103,,,0.3852103,1.1162143,-0.731004,,
31,1,0.2280101,,,0.2280101,1.1929638,-0.9649537,,
32,1,0.6284716,,,0.6284716,1.8936359,-1.2651643,,
33,1,0.4631429,,,0.4631429,2.9590214,-2.4958785,,
34,1,0.3295559,,,0.3295559,0.7625372,-0.4329813,,
35,1,0.5888011,,,0.5888011,0.9405879,-0.3517868,,
36,1,0.3793979,,,0.3793979,1.3564238,-0.9770259,,
37,1,0.2469113,,,0.2469113,63.9684602,-63.7215489,,
38,1,0.4982526,,,0.4982526,1.0130266,-0.514774,,
39,1,5.5895904,,,5.5895904,1.0375683,4.5520221,,
40,1,0.8893089,,,0.8893089,2.2037408,-1.3144319,,
41,1,0.4070203,,,0.4070203,1.2326482,-0.8256279,,
42,1,0.3326804,,,0.3326804,6.7282157,-6.3955353,,
43,1,0.2777903,,,0.2777903,6.7363058,-6.4585155,,
44,1,0.2733066,,,0.2733066,7.6725657,-7.3992591,,
45,1,0.2747339,,,0.2747339,1.1405929,-0.865859,,
46,1,0.1395793,,,0.1395793,6.1360299,-5.9964506,,
47,1,0.3058992,,,0.3058992,1.218316,-0.9124168,,
48,1,0.938096,,,0.938096,2.4815539,-1.5434579,,
49,1,1.0172851,,,1.0172851,3.6425496,-2.6252645,,
50,1,0.9494872,,,0.9494872,1.5983706,-0.6488834,,
51,1,2.969987,,,2.969987,2.0375411,0.9324459,,
52,1,0.3535401,,,0.3535401,2.4313373,-2.0777972,,
53,1,0.3773526,,,0.3773526,4.9974575,-4.6201049,,
